v_x,v_y,yaw_rate(psi_dot),pitch(theta),roll(phi),steering(delta)
-0.021296562,0.01427557,-0.1,-1.058540106,1.194483757,-9.17E-05
-0.027898165,0.018365351,-0.0875,-1.046277285,1.204174876,-9.17E-05
-0.033761489,0.021159089,-0.0625,-1.03395319,1.212741613,-9.17E-05
-0.039417508,0.024495466,-0.05,-1.021389723,1.217574835,-9.17E-05
-0.044851548,0.030171617,0.0425,-1.009758353,1.224556446,-9.17E-05
-0.023116125,0.011151533,-0.14125,-1.051037908,1.197676778,-9.17E-05
-0.027481816,0.015874208,-0.04,-1.041007638,1.201702833,-9.17E-05
-0.032836982,0.017228851,-0.13625,-1.029096484,1.208797097,-9.17E-05
-0.039176105,0.023106119,-0.01875,-1.019292474,1.215930223,-9.17E-05
-0.045123484,0.023036505,-0.1525,-1.005142689,1.220959187,-9.17E-05
-0.022823153,0.014192035,-0.0525,-1.050225139,1.200272679,-9.17E-05
-0.028372822,0.016365418,-0.075,-1.036429405,1.206840873,-9.17E-05
-0.033275003,0.017946112,-0.1375,-1.027296424,1.212408185,-9.17E-05
-0.039396488,0.023381141,-0.0675,-1.01446867,1.217869401,-9.17E-05
-0.045419185,0.026542865,-0.06125,-1.002879977,1.225660563,-9.17E-05
-0.023492533,0.011944372,-0.08625,-1.052822232,1.197485924,-9.17E-05
-0.028036484,0.01555408,-0.04,-1.041531801,1.205275416,-9.17E-05
-0.033693916,0.019276758,0.00625,-1.029033899,1.212458491,-9.17E-05
-0.039693804,0.019423521,-0.165,-1.018471479,1.216192007,-9.17E-05
-0.0461385,0.025247172,-0.07875,-1.005535841,1.221477509,-9.17E-05
-0.023302637,0.015519461,-0.06,-1.051249266,1.203049898,-9.17E-05
-0.028432845,0.018252896,-0.07125,-1.039022923,1.207327366,-9.17E-05
-0.033734615,0.018824616,-0.1875,-1.027307391,1.214599133,-9.17E-05
-0.040009755,0.023522288,-0.12375,-1.016474843,1.221360803,-9.17E-05
-0.046615582,0.03060132,0.00875,-1.005101085,1.227834821,-9.17E-05
-0.020813592,0.015477258,-0.1225,-1.056624532,1.204240084,-9.17E-05
-0.025920298,0.021535527,0.01375,-1.044811606,1.210747719,-9.17E-05
-0.03161744,0.022750431,-0.07875,-1.034564495,1.215373993,-9.17E-05
-0.037545073,0.028152955,0.02625,-1.023840904,1.221897364,-9.17E-05
-0.042937114,0.030059274,-0.04875,-1.010761499,1.228367329,-9.17E-05
-0.016215039,0.013942135,-0.08,-1.046287894,1.198585868,-9.17E-05
-0.019825402,0.01652828,-0.08375,-1.037824512,1.203680634,-9.17E-05
-0.019778738,0.01984629,-0.07375,-1.019012332,1.209415913,-9.17E-05
-0.021833369,0.023862304,-0.02625,-1.01271975,1.215908289,-9.17E-05
-0.022248137,0.027171449,-0.03375,-0.997364521,1.222840786,-9.17E-05
0.005286437,0.013520873,-0.09,-1.045660853,1.198385715,-9.17E-05
0.006516861,0.018362092,0.00375,-1.029397845,1.204430938,-9.17E-05
0.006971605,0.018549328,-0.1225,-1.020023584,1.209288478,-9.17E-05
0.008303269,0.023108205,-0.08375,-1.006407142,1.216675401,-9.17E-05
0.009348258,0.028385714,0,-0.995038152,1.224580288,-9.17E-05
0.040314122,0.010471942,-0.085,-1.041489124,1.194751263,-9.17E-05
0.041042531,0.012461855,-0.12,-1.030018568,1.19863534,-9.17E-05
0.025630783,0.016548265,-0.08625,-1.027049899,1.203237414,-9.17E-05
0.006849811,0.020860281,-0.03625,-1.016406178,1.2098701,-9.17E-05
-0.00580288,0.023722646,-0.05125,-1.004323483,1.217324018,-9.17E-05
0.018736089,0.014748856,-0.045,-1.049441814,1.197873116,-9.17E-05
0.029316955,0.016466117,-0.11375,-1.032838941,1.203196168,-9.17E-05
0.067737428,0.018697584,-0.12875,-0.992577672,1.210406899,-9.17E-05
0.120300691,0.024042419,-0.0275,-0.951659918,1.220265269,-9.17E-05
0.170195317,0.026211842,-0.06625,-0.925974488,1.229291439,-9.17E-05
0.216969396,0.013121863,-0.0925,-0.981835842,1.209341407,-9.17E-05
0.238453322,0.016230466,-0.08625,-0.978154361,1.21398139,-9.17E-05
0.245853254,0.019724349,-0.0825,-0.990578532,1.219359875,-9.17E-05
0.253053257,0.022802826,-0.0675,-0.973337233,1.226226449,-9.17E-05
0.279181777,0.027307176,-0.03375,-0.964808106,1.237097383,-9.17E-05
0.306638802,0.026930667,-0.1675,-0.94583106,1.245002031,-9.17E-05
0.385988407,0.013593704,-0.06375,-0.994697094,1.218096614,-9.17E-05
0.425726469,0.016902924,-0.1025,-0.989626527,1.235264897,-9.17E-05
0.475873723,0.018105252,-0.0525,-0.975105464,1.241425395,-9.17E-05
0.528350264,0.020257926,-0.0825,-0.97211808,1.240386724,-9.17E-05
0.614230174,-0.003785575,-0.025,-1.01730442,1.1846385,-9.17E-05
0.660167038,-0.002091594,-0.05,-1.009709597,1.185969472,-9.17E-05
0.700693214,0.002013892,-0.055,-1.019364595,1.203620315,-9.17E-05
0.734888231,0.004360555,-0.015,-1.019351959,1.230226398,-9.17E-05
0.773614195,0.003901071,-0.06,-1.008810282,1.244168282,-9.17E-05
0.833863091,-0.006838482,-0.03875,-1.052122235,1.22428894,-9.17E-05
0.870833573,-0.003803101,0.03375,-1.029434085,1.233441353,-9.17E-05
0.901077253,-0.000925359,0.0425,-1.007929921,1.24555409,-9.17E-05
0.93168151,0.001443099,-0.0075,-0.98904556,1.266597271,-9.17E-05
0.963886688,0.003654925,-0.10875,-0.972309768,1.295485139,-9.17E-05
1.016818657,-0.015236078,-0.04625,-1.00699842,1.28115356,-9.17E-05
1.051298184,-0.015651698,-0.1025,-0.977439284,1.292510509,-9.17E-05
1.068950114,-0.012227852,-0.035,-0.961254835,1.288223028,-0.04412844
1.095905,-0.012571486,-0.2575,-0.935870588,1.272332788,-0.361834862
1.101037822,-0.008492266,-0.61875,-0.930971205,1.270949721,-0.395229358
1.105836614,-0.004103019,-0.81,-0.909280539,1.262818456,-0.395229358
1.137736465,-0.017922828,-1.35125,-0.985095918,1.219997406,-0.395229358
1.144648588,-0.014940316,-1.69,-0.971821666,1.211112022,-0.395229358
1.158857431,-0.009198861,-1.94625,-0.942732155,1.209887385,-0.395229358
1.168965976,-0.011142584,-2.385,-0.944568038,1.201851249,-0.395229358
1.222377342,-0.02932016,-2.7325,-1.004506826,1.1537323,-0.395229358
1.242386849,-0.022128355,-3.03,-1.008328199,1.142539978,-0.395229358
1.264791817,-0.023740013,-3.5225,-0.982232153,1.135716081,-0.395229358
1.283909526,-0.019408839,-3.99625,-0.953303039,1.131424785,-0.395229358
1.302695282,-0.017156832,-4.52875,-0.950158477,1.13753736,-0.395229358
1.364110101,-0.033258284,-5.09375,-1.019102097,1.087819576,-0.395229358
1.38858329,-0.032768306,-5.8025,-0.997897148,1.059689641,-0.395229358
1.415251461,-0.031438058,-6.4675,-0.996525466,1.025582552,-0.305412844
1.438571118,-0.025629808,-7.14625,-1.006678343,1.034836292,-0.23233945
1.462358756,-0.022451766,-7.53625,-1.009961843,1.028030276,-0.160366972
1.518928888,-0.051483462,-7.835,-1.080679059,0.95953095,-0.091559633
1.553240093,-0.042265793,-7.46875,-1.086933732,0.953532755,-0.02766055
1.588179988,-0.033358233,-7.11875,-1.092957497,0.973383725,-0.011284404
1.626118638,-0.034133117,-6.84125,-1.094515085,0.988177001,-0.003761468
1.665179991,-0.033027016,-6.62125,-1.058328867,0.991932333,-9.17E-05
1.729759955,-0.039395665,-6.0725,-1.10453701,1.012535095,-9.17E-05
1.761505703,-0.035919361,-5.4875,-1.117188692,1.10159874,-9.17E-05
1.801901982,-0.032284869,-5.08125,-1.120755672,1.149493456,-9.17E-05
1.827455385,-0.031127083,-4.5325,-1.075887918,1.167123079,-9.17E-05
1.852373519,-0.021746767,-4.16625,-1.068430781,1.210612535,-9.17E-05
1.887040941,-0.048750234,-3.5075,-1.142221212,1.167430282,-9.17E-05
1.902024647,-0.051185985,-3.33875,-1.162072539,1.152121067,-9.17E-05
1.91363489,-0.037710334,-2.66,-1.181964397,1.13328588,-9.17E-05
1.932904076,-0.035450863,-2.40125,-1.13325119,1.13875258,-9.17E-05
1.948781701,-0.024151012,-1.81375,-1.128462195,1.182411909,-9.17E-05
1.966146612,-0.021599712,-1.26625,-1.152283311,1.214480639,-9.17E-05
2.031473536,-0.048641525,-0.87625,-1.226319194,1.193873405,0.019311927
2.051371853,-0.043993232,-0.09125,-1.186263204,1.22250545,0.216926606
2.07851081,-0.034799242,0.47125,-1.179068446,1.291076899,0.329908257
2.103370252,-0.03229467,1.31625,-1.158183455,1.332774639,0.348899083
2.163158447,-0.052556972,1.88875,-1.225258589,1.30691421,0.481651376
2.192055973,-0.039201543,2.8475,-1.245206356,1.312807679,0.481651376
2.220269708,-0.040161448,3.1425,-1.19288671,1.372099638,0.481651376
2.229762927,-0.026562709,4.08625,-1.212234735,1.443466306,0.481651376
2.250448466,-0.027024732,4.30875,-1.200159073,1.506096125,0.481651376
2.295570043,-0.060492892,5.135,-1.224927425,1.455382466,0.481651376
